id,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count
25437,COLONIAL CONFERENCE,VISIT OF COLONIAL PRIME MINISTERS TO THE CITY OF LONDON,GOV,"GUILDHALL, LONDON, ENGLAND",BOOKLET; COL; ILLUS; 5.5 X 9;,COMPLIMENTARY/TESTIMONIAL,WINES LISTED; MENU IN FRENCH; SEALS OF VARIOUS COLONIES; MUSIC;,1907-392,1907-04-16T00:00:00Z,Colonial Conference,,,COMPLETE,12,27
25438,THE ANNEX,DAILY MENU,COMMERCIAL,"114 WEST FOURTEENTH STREET, NEW YORK",FOLDER; 6.25 X 9.5;,N/A,PRICED MENU; MENU HANDWRITTEN;,1906-423,1906-04-30T00:00:00Z,The Annex,DOLLARS,$,COMPLETE,4,71
25439,WOODSTOCK INN,DINNER MENU,COMMERCIAL,"WOODSTOCK, VT",FOL; 5.25X6.5;,N/A,INCLUDES PROGRAM OF 2 P.M. CONCERT,1894-078,1894-08-29T00:00:00Z,Woodstock Inn,,,COMPLETE,4,44
25440,HAMBURG - AMERIKA LINIE,HAUPTMAHLZEIT,COMMERCIAL,"YACHT: ""PRINZESSIN VICTORIA LUISE""",FOLDER; ILLUS; COL; 4.5X6.75;,N/A,GERMAN & ENGLISH; MUSIK PROGRAMM ON BACK COVER; DRAWING OF SHIP'S OFFICER & A MAN & WOMAN CONVERSING ON SHIPBOARD DURING A STORM;,1901-524,1901-03-01T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,4,28
25441,HAMBURG - AMERIKA LINIE,DINNER,COMMERCIAL,"EXPRESS-STEAMER ""AUGUSTE VICTORIA"" EN ROUTE",FOLDER; ILLUS; COL; 4.5 X 7;,DAILY,MENU IN GERMAN & ENGLISH; CONCERT PROGRAM INCLUDED;,1900-822,1900-02-08T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,2,32
25442,THE REFORM CLUB,DINNER IN AID OF THE REFORM OF THE TARIFF,SOC,METROPOLITAN OPERA HOUSE,CARD;5.25X7.5,N/A,N/A,1888-056,1888-06-16T00:00:00Z,The Reform Club,,,COMPLETE,1,25
25443,CLASS OF 1858 OF HARVARD COLLEGE,40TH ANNIVERSARY,EDUC,UNION CLUB,BROADSIDE; 4.25X6.75;,REUNION,INCLUDES HANDWRITTEN LIST OF THOSE ATTENDING;,1898-208,1898-06-28T00:00:00Z,Class Of 1858 Of Harvard College,,,COMPLETE,2,21
25445,HOTEL ROANOKE,DINNER MENU,COMMERCIAL,"ROANOKE, VA",BROADSIDE; ILLUS; 5X6;,DAILY MENU,ILLUSTRATION OF HOTEL AT TOP OF MENU;,1900-043,1900-01-04T00:00:00Z,Roanoke Hotel,,,COMPLETE,2,27
25446,CIE GLE TRANSATLANTIQUE,DINNER,COMMERCIAL,ABOARD PAQUEBOT LA CHAMPAGNE,FOLDER; 4.5 X 7.75; ILLUS; COL;,N/A,MENU IN FRENCH AND ENGLISH; COLORED ADS IN FOLDOUT;,1900-675,1900-02-01T00:00:00Z,Cie. Gle. Transatlantique,,,COMPLETE,6,34
25448,NEW YORK PRESS CLUB,DINNER,PROF,"MANHATTAN BEACH HOTEL, CONEY ISLAND, NY",FOLDER; ILL; 4.75X6.5,N/A,"NEW YORK PRESS CLUB NEW BUILDING ILLUSTRATED; OFFICERS, TRUSTEES, DINNER COMMTTEE LISTED; GROUND PLAN OF BUILDING ILLUSTRATED; SEATING PLAN ON SEPARATE SHEET",1892-092,1892-07-14T00:00:00Z,New York Press Club,,,COMPLETE,4,31
25449,NORDDEUTSCHER LLOYD BREMEN,BREAKFAST,COM,ON BOARD S.S.KRONPRINZESSIN CECILE,"BROADSHEET;ILLUS, COL;5.5X8;",N/A,MENU IN GERMAN & ENGLISH;,1907-755,1907-08-25T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,91
25450,TAMPA BAY HOTEL,LUNCH,COMMERCIAL,"TAMPA,FL",BROADSIDE;ILLUS;COL;4.5X7;,DAILY,HOTEL EMBLEM;,1901-282,1901-05-04T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,2,44
25451,GENERAL SOCIETY OF MECHANICS AND TRADESMEN OF THE CITY OF NEW YORK,FOUNDERS' DAY BANQUET IN HONOR OF MR. ND MRS. ANDREW CARNEGIE,PROF,"DELMONICO'S, NEW YORK, NY",BOOKLET; ILLUS; COL; 7X9;,COMPLIMENTARY/TESTIMONIAL,"GUEST LIST INCLUDED; OFFICERS AND EXECUTIVE COMMITTEE LISTED; HISTORY OF MECHANICS INSTITUTE INCLUDED; PHOTOGRAPH OF OF INSTITUTE INCLUDED, ALSO REPLICA OF SOCIETY MEMBERSHIP CERTIFICATE; SOCIETY INSIGNIA ON COVER; THREAD ATTACHMENT;",1905-874,1905-11-18T00:00:00Z,General Society Of Mechanics And Tradesmen Of The City Of New York,,,COMPLETE,16,20
25452,HOTEL ASSOCIATION OF NEW YORK CITY,GRAND HOTEL MEN'S BANQUET,COMMERCIAL,DELMONICO'S NY,CARD; 3.25 X 5;,SOCIAL,FRENCH; WINES;,1892-010,1892-01-14T00:00:00Z,Hotel Association Of New York City,,,COMPLETE,2,34
25453,U.S.S. LOUISIANA,DAILY MENU,NAV,AT SEA,BROADSIDE; 3.5X5.75;,N/A,N/A,1906-837,1906-11-19T00:00:00Z,U.S.S. Louisiana,,,COMPLETE,2,16
25454,WESTRN RESERVE SOCIETY OF THE SONS OF THE AMERICAN REVOLUTION,WASHINGTON'S BIRTHDAY DINNER,PAT,"HOLLENDEN HOUSE, [CLEVELAND, OH]",FOLDER; ILLUS; COL; 5X6;,PAT,PROGRAM; [PLACE INFO SUPPLED BY F.E.B.]; PORTRAIT OF WASHINGTON ON COVER;,1901-455,1901-02-22T00:00:00Z,Westrn Reserve Society Of The Sons Of The American Revolution,,,COMPLETE,4,16
25456,BERKSHIRE SOCIETY OF NEW YORK,11TH ANNUAL DINNER,SOC,"WINDSOR HOTEL, NEW YORK, NY",FOLDER; ILLUS; COL; 5X7.25;,ANNIVERSARY,PROGRAM INCLUDES TOASTS & MUSIC; FLORAL DRAWING ON COVER;,1898-081,1898-02-11T00:00:00Z,Berkshire Society Of New York,,,COMPLETE,4,21
25459,OCEAN STEAMSHIP CO.,SUPPER,COMMERCIAL,S.S. NACOOCHEE,BROADSHEET; 5.5X6.75; ILLUS; COL;,N/A,PINK CARD; ILLUS REVERSE SIDE; GAME BIRDS TAKING FLIGHT;,1900-757,1900-02-01T00:00:00Z,Ocean Steamship Co.,,,COMPLETE,2,20
25460,COMMONWEALTH CLUB,DINNER,SOC,MORELLO'S 4 WEST 29TH ST. NYC,CARD; 4 X 6.5;,N/A,FRENCH;,1892-018,1892-01-22T00:00:00Z,Commonwealth Club,,,COMPLETE,2,18
25461,TAMPA BAY HOTEL,LUNCH,COM,"TAMPA, FL",BROADSIDE; COL; 4.5 X 7;,N/A,N/A,1901-498,1901-02-25T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,2,42
25462,FRED HARVEY,CARTE DU JOUR,COMMERCIAL,"CHICAGO, IL",CARD; 6.6X9.25;,N/A,A LA CARTE PRICED MENU; [PLACE INFO SUPPLIED BY FEB];,1905-859,1905-11-15T00:00:00Z,Fred Harvey,DOLLARS,$,COMPLETE,2,145
25463,COMPAGNIE GÉNÉRALE TRANSATLANTIQUE,DINNER ON BOARD,COMMERCIAL,"ON BOARD ""LA BRETAGNE""",BROADSHEET;ILLUS;COL;6X8;,N/A,MENU IN FRENCH & ENGLISH;FLAG ILLUS;,1906-658,1906-08-11T00:00:00Z,Compagnie Generale Transatlantique,,,COMPLETE,2,24
25464,JACKSONVILLE BOARD OF TRADE,LUNCHEON TO THE PRESIDENT,PROF,"JACKSONVILLE, FL",FOLDER; ILLUS; COL; 4.5X6.5;,PATRIOTIC HOLIDAY,WINES LISTED; OFFICERS AND COMMITTEE LISTED;,1905-773,1905-10-21T00:00:00Z,Jacksonville Board Of Trade,,,COMPLETE,8,33
25465,MR. JOHN SHAW,LUNCH FOR MRS. THOS. BRADY & DAUGHTER IN REMEMBRANCE OF A VERY PLEASANT EVENING APRIL 1890,OTHER: PRIVATE,FILIPPINI'S,FOLDER; ILLUS; COL; 3.50 X 5.50;,COMPLIMENTARY/TESTIMONIAL,FRENCH; DECORATED WITH FLOWERS;,1891-134,1891-12-31T00:00:00Z,Mr. John Shaw,,,COMPLETE,4,14
25466,WASHINGTON ASSOCIATION OF BOWDOIN ALUMNI,ANNUAL BANQUET,EDUC,"THE COCHRAN, WASHINGTON, DC",BOOKLET; ILLUS; 4.75X6;,ANNIVERSARY,INCLUDES OFFICERS & EXECUTIVE COMMITTE; ILLUSTRATION OF HOTEL ON BACK COVER,1893-019,1893-02-14T00:00:00Z,Washington Association Of Bowdoin Alumni,,,COMPLETE,4,18
25468,FRAUNCES' TAVERN,LUNCHEON,COMMERCIAL,NEW YORK CITY,CARD; 6.5 X 10.25;,N/A,PRICED MENU AND WINE LIST;,1907-881,1907-10-15T00:00:00Z,Fraunces' Tavern,DOLLARS,$,COMPLETE,2,196
25469,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA, FL",FOLDER; ILLUS; 4.25X7;,N/A,HOTEL SEAL ON COVER;,1901-100,1901-01-16T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,4,44
25470,HAMBURG - AMERIKA LINIE,LUNCH,COMMERCIAL,SS FURST BISMARCK,CARD;ILL;COL;5X8;,DAILY,"SEPARATE ENGLISH AND GERMAN MENUS LISTED;ILLUSTRATIONS,STEAMSHIP,BUXOM DRESSED WOMAN SURROUNDED BY FRUITS,VEGETABLES AND IMPLEMENTS WITH FAINT CITYSCAPE IN BACKGROUND;",1899-826,1899-12-13T00:00:00Z,Hamburg Amerika Linie,,,COMPLETE,2,32
25471,DELMONICOS,DINNER,N/A,N/A,CARD; 3.5 X 4.75;,N/A,PARCHMENT WITH CLEAR DECORATIVE BORDER; FRENCH; WINES;,1897-376,1897-01-01T00:00:00Z,Delmonico's,,,COMPLETE,2,17
25472,FIRST PANEL SHERIFF'S JURY,ANNUAL DINNER,GOV,DELMONICO'S NY,BOOKLET; ILLUS; 6 X 9;,COMMEMORATIVE,OLD TIME SHERRIF [ENGLISH?] ON WATCH; NY SEAL AND RIBBON; TIED WITH BLUE RIBBONS; MEMBERS LISTED;,1892-009,1892-01-12T00:00:00Z,First Panel Sheriff's Jury,,,COMPLETE,6,28
25473,NORDDEUTSCHER LLOYD BREMEN,LUNCH,COMMERCIAL,"""KONIGIN LUISE"" AT SEA",BROADSIDE; ILLUS; COL; 5.5X8;,DAILY MENU AT SEA,GERMAN/ENGLISH; MARITIME SCENE SKETCHED AT TOP OF MENU;,1899-325,1899-04-08T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,58
25474,KING FREDERIK VIII,[BIRTHDAY OF PRINCESS THYRA OF DENMARK],OTHER (ROYAL MONARCH);,"RESIDENCE-PALAIS, COPENHAGEN, DENMARK",CARD; ILLUS; 3.6X5;,COMPLIMENTARY/TESTIMONIAL,"MENU IN DANISH; EMBOSSED CROWN AT TOP OF MENU; [SPONSOR, EVENT, PLACE INFO SUPPLIED BY FEB];",1907-301,1907-03-14T00:00:00Z,King Frederik Viii,,,COMPLETE,2,7
25476,ST.LOUIS CLUB,BREAKFAST,COMMERCIAL,"[ST.LOUIS,MO?]",CARD;COL;6.5X9.25;,DAILY,DATE HANDWRITTEN;CITY AND STATE HANDWRITTEN;,1901-296,1901-02-06T00:00:00Z,St.Louis Club,DOLLARS,$,UNDER REVIEW,2,72
25477,NEWARK'S NEW CITY HALL OPENING,BANQUET IN CELEBRATION OF ABOVE,GOV,"KRUEGER AUDITORIUM, NEWARK, NJ","FOLDER,; ILLUS; 5.5 X 7;",OTHER (CELEBRATION OF EVENT);,CHAMPAGNE; PHOTO OF BUILDING;,1906-972,1906-12-20T00:00:00Z,Newark's New City Hall Opening,,,COMPLETE,4,20
25478,AMERICAN HARDWARE MANUFACTURERS' ASSOCIATION AND SOUTHERN HARDWARE JOBBERS'ASSOCIATION,BANQUET,COMMERCIAL,"THE JEFFERSON, RICHMOND, VA",BOOKLET; ILLUS; COL; 5X8;,COMPLIMENTARY/TESTIMONIAL,DRINKS LIST; SPEAKERS; ANTHEMS; FOREST GREEN SUEDE COVER WITH EMBOSSED STEIN AND TWO LONG PIPES; WHITE SUEDE TIE;,1907-594,1907-06-13T00:00:00Z,American Hardware Manufacturers' Association And Southern Hardware Jobbers'association,,,COMPLETE,12,22
25480,NORDDEUTSCHER LLOYD BREMEN,FRUHSTUCK,COMMERCIAL,"SCHNELLDAMPFER ""HOHENZOLLERN""",CARD; ILLUS; COL; 5.25X8;,N/A,"GERMAN & ENGLISH; ILLUSTRATION OF SAILBOAT AT SEA; BORDER OF SAILING ACCESSORIES; COMPASS, BINOCULARS, ROPES, ETC;",1901-941,1901-04-17T00:00:00Z,Norddeutscher Lloyd Bremen,,,COMPLETE,2,74
25482,FRATERNAL UNION OF ANOINTED HIGH PRIESTS OF NYS,16TH ANNUAL BANQUET,SOC,"BURNS HOTEL,NYC",BOOKLET;ILLUS;COL;4.5X6;,ANNUAL EVENT,SPEAKERS LISTED;OFFICERS & TRUSTEES INCLUDED;,1906-431,1906-04-28T00:00:00Z,Fraternal Union Of Anointed High Priests Of Nys,,,COMPLETE,8,20
25483,ROYAL PALM HOTEL,LUNCHEON,COM,"MIAMI BISCAYNE BAY,FLA.",BROADSIDE; HOTEL EMBLEM; 4 X 7.5;,N/A,N/A,1901-632,1901-03-11T00:00:00Z,Royal Palm Hotel,,,COMPLETE,2,38
25484,CAFETERIA LUNCH,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",FOLDER; ILLUS; 6X9.5;,DAILY MENU,SPECIALS WRITTEN IN FADED LAVENDAR INK; ILLUSTRATION OF MOOSE ON BACK COVER;,1900-540,1900-01-01T00:00:00Z,Cafeteria Lunch,DOLLARS,$,COMPLETE,4,71
25485,G.H.COOK,DINNER TO STICK TOGETHR CLUB,SOC,"LINCOLN CLUB, NEW YORK",BOOKLET; 5 X 7;,COMPLIMENTARY/TESTIMONIAL,WINES WITH EACH COURSE;,1906-119,1906-02-03T00:00:00Z,G.H.Cook,,,COMPLETE,8,27
25486,GLEN HOUSE,DINNER,N/A,NEW HAMPSHIRE,BROADSHEET; ILLUS; 5.5 X 8.5,DINNER,DRAWING OF HOTEL,1881-023,1881-08-12T00:00:00Z,Glen House,,,COMPLETE,2,88
25488,ALBERMARLE HOTEL,DINNER,COM,"NEW YORK CITY, MADISON SQUARE;",FOLDER; ILLUS;6.5 X 9,N/A,DRAWING OF HOTEL; [PRICES ?] ON MENU AS WELL AS WINE LIST,1882-036,1882-02-02T00:00:00Z,Albermarle Hotel,DOLLARS,$,COMPLETE,4,272
25489,ST. REGIS HOTEL,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,FRENCH AND ENGLISH;,1906-190,1906-02-18T00:00:00Z,St. Regis Hotel,DOLLARS,$,COMPLETE,2,197
25490,NY ALUMNI ASSOCIATION OF COLGATE UNIVERSITY,ANNUAL DINNER,EDUC,"HOTEL MANHATTAN, NY",BROADSIDE; ILLUS; COL; 3.5 X 7;,ANNUAL EVENT,N/A,1899-193,1899-02-20T00:00:00Z,Ny Alumni Association Of Colgate University,,,COMPLETE,2,19
25491,CHAMBER OF COMMERCE (NEW YORK CITY?),BREAKFAST(?) ADMIRAL JOHN GRIMES WALKER AND THE WHITE SQUADRON,GOV,"LAWYER'S CLUB, NEW YORK CITY",CARD; 5 X 7.25;,COMPLIMENTARY/TESTIMONIAL,FRENCH; OCCASION HANDWITTEN ON BACK;,1891-081,1891-08-05T00:00:00Z,Chamber Of Commerce (New York City?),,,COMPLETE,2,24
25492,WESTMINISTER HOTEL,LUNCHEON,COMMERCIAL,NY,BROADSIDE;,DAILY,N/A,1900-213,1900-01-13T00:00:00Z,Westminister Hotel,,,COMPLETE,2,41
25493,MRS. HWEMANN OELRICHS,DINNER FOR 150 GUESTS,SOC,"ROSECLIFF,NEWPORT, RI",BROADSIDE; 3.75X5;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1905-691,1905-09-07T00:00:00Z,Mrs. Hwemann Oelrichs,,,COMPLETE,2,17
25494,NEW YORKER STAATS-ZEITUNG,"DINNER TO HIS EXCELLENCY CHARLEMAGNE TOWER, AMBASSADOR EXTRAORDINARY AND PLENIPOTENTIARY",PROF,"MANHATTAN CLUB, NEW YORK, NY",FOLDER; ILLUS; COL; 4X5.6;,COMPLIMENTARY/TESTIMONIAL,WINE LIST INCLUDED; MUSIC PROGRAMME; ADDRESSES LISTED; PHOTOGRAPH OF MR. TOWER INCLUDED; AMERICAN AND GERMAN FLAGS ON COVER; CORD ATTACHMENT;,1907-359,1907-04-08T00:00:00Z,New Yorker Staats Zeitung,,,COMPLETE,12,31
25495,N/A,DINNER IN HONOR OF S.A.R.MONSEIGNEUR LE COMTE TRAPANI,N/A,LUCERNE,BROADSIDE;ILLUS;5.5 X 8.5;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH,1890-082,1890-08-13T00:00:00Z,?,,,COMPLETE,2,17
25496,MASTER BUILDERS' EXCHANGE OF PHILADELPHIA,"""COMING OF AGE"" BANQUET",COMMERCIAL,HOTEL MAJESTIC,BOOKLET; ILLUS; COL; 6.75X10.25;,ANNIVERSARY,LISTS WINES SERVED WITH INDIVIDUAL COURSE; INCLUDES LIST OF EX-PRESIDENTS; PARTICIPANTS LISTED; HOTEL SEAL ON COVER WITH ENGRAVING OF POLAR BEAR; CORD ATTACHMENT;,1908-159,1908-02-17T00:00:00Z,Master Builders' Exchange Of Philadelphia,,,COMPLETE,8,24
25497,THE GRANVILLE,DAILY MENU,COMMERCIAL,"ST. LAWRENCE-ON-SEA, THANET, ENGLAND",BROADSHEET; COL; ILLUS; 3.5 x 6;,N/A,"FRENCH; ILLUS. OF HOTEL; GOLD BORDER; DETAILED DESCRIPTION OF ALL SERVICES AND AMENITIES OF HOTEL, INCLUDING SPECIAL TRAIN SCHEDULES FROM LONDON STATIONS; HYDROPATHIC ESTABLISHMENT DETAILS",1886-037,1886-09-20T00:00:00Z,The Granville,,,COMPLETE,2,15
25498,PIONEER RESTAURANT,BILL OF FARE,COMMERCIAL,"NEW YORK, NY",BROADSHEET; 5.5X8.75;,DAILY MENU,"""REGULAR DINNER, FROM 11 TO 2, 25 CENTS; COFFEE UNSURPASSED 5 CENTS; COMMUTATION TICKETS, $3.50 FOR $3.00; QUICK LUNCH PUT UP FOR TRAVELERS;""",1900-164,1900-01-11T00:00:00Z,Pioneer Restaurant,DOLLARS,$,COMPLETE,2,75
25499,THE INDUSTRIAL CLUB OF CHICAGO,ELEVENTH MEETING,PROF,"AUDITORIUM ANNEX [CHICAGO, IL]",BOOKLET; 6 X 7;,ANNIVERSARY,WINES LISTED;,1908-101,1908-01-31T00:00:00Z,The Industrial Club Of Chicago,,,COMPLETE,12,18
25500,PENNSYLVANIA RAILROAD,DINNER,COMMERCIAL,PA,CARD;ILLUS;4X6;,N/A,ONE PRICE FOR ENTIRE MEAL;,1893-060,1893-05-02T00:00:00Z,Pennsylvania Railroad,,,COMPLETE,2,29
25501,BROADWAY CENTRAL HOTEL,LUNCHEON,COMMERCIAL,"NEW YORK, NY",BROADSIDE; ILLUS; COL; 5.6X8.25;,N/A,TABLE D'HOTE MENU; HOTEL SEAL AT TOP OF MENU;,1907-914,1907-10-26T00:00:00Z,Broadway Central Hotel,,,COMPLETE,2,45
25502,ALCAZAR HOTEL,DINNER,COMMERCIAL,"ST. AUGUSTINE, FL",CARD; 4 X 7.5;,N/A,LOGO; PROGRAM OF ORGAN MUSIC AND CASINO DANCE; NOTE ABOUT PURITY OF WATER;,1901-555,1901-03-04T00:00:00Z,Hotel Alcazar,,,COMPLETE,2,48
25503,PLAZA,DAILY MENU,COMMERCIAL,N/A,CARD; ILLUS; 6.5 X 10;,N/A,PRICED MENU; LOGO OF LION;,1900-656,1900-02-01T00:00:00Z,Plaza,DOLLARS,$,COMPLETE,2,138
25505,UNION LEAGUE CLUB,DINNER,SOC,NEW YORK,CARD; 4.5 X 7;,COMPL.,"WINES AND LIQUOURS; NOTATION ON BACK SAYING PRESIDENT'S DINNER, ST. ANDREWS (?) SOCIETY; MANY SIGNATURES;",1898-317,1898-10-27T00:00:00Z,Union League Club,,,COMPLETE,2,30
25507,NEW STATE HOUSE,SUNDAY DINNER,COMMERCIAL,"WACO,TX",BOOKLET;ILLUS;COL;5X6.25;,DAILY,TWISTED CORD AT LEFT;HOTEL EMBLEM;MUSICAL PROGRAM;,1901-045,1901-01-06T00:00:00Z,New State House,,,COMPLETE,8,38
25508,ST. REGIS HOTEL,LUNCHEON/DEJEUNER FOURCHETTE,COMMERCIAL,"NEW YORK, NY",CARD; 5X8;,N/A,FRENCH AND ENGLISH;,1906-195,1906-02-19T00:00:00Z,St. Regis Hotel,DOLLARS,$,COMPLETE,2,198
25509,DAMASRUS COMMANDERN NO.58,"RECEPTION TO SIR JAMES S.MANNING,GRAND SWORD-BEARER,GRAND COMMANDERN OF THE STATE OF NY;",SOC,"EVERETT'S, [BROOKLYN,NY]",FOLDER;5X7.25;,COMPLIMENTARY/TESTIMONIAL,MENU IN FRENCH;,1894-049,1894-05-02T00:00:00Z,Damasrus Commandern No.58,,,COMPLETE,4,14
25510,HOTEL MEN'S MUTUAL BENEFIT AASOCIATION,TWENTIETH ANNUAL BANQUET,PROF,"AUDITORIUM HOTEL, CHICAGO, IL",DOUBLE CARD; COL; 5 X 7;,ANNIVERSARY,WINES; RED PRINT; CREST; TWO CARDS JOINED AT THE TOP; PROGRAM;,1899-440,1899-05-24T00:00:00Z,Hotel Men's Mutual Benefit Aasociation,,,COMPLETE,2,26
25511,TAMPA BAY HOTEL,DINNER,COMMERCIAL,"TAMPA,FL",FOLDER;ILL;COL;4.5X7.25;,DAILY,HOTEL EMBLEM;,1901-762,1901-03-26T00:00:00Z,Tampa Bay Hotel,,,COMPLETE,4,47
25513,CHILD'S,DAILY LUNCH MENU,COMMERCIAL,"42 EAST 14TH STREET, 440 BWAY, NEW YORK",FOLDER; 6X10;,N/A,PRICED MENU; PLACE NOTED BY FEB; BRANCHES LISTED;,1907-563,1907-06-01T00:00:00Z,Childs',DOLLARS,$,COMPLETE,4,120
25514,IRVING'S RESTAURANT,DINNER,COMMERCIAL,"37 JOHN STREET, NY",CARD; ILLUS; 6 X 9;,N/A,HANDWRITTEN; PRICED MENU; ILLUSTRATION OF POT COOKING OVER A WOOD FIRE IN THE WOODS; DATE HANDWRITTEN BY FEB;,1900-437,1900-01-20T00:00:00Z,Irving's Restaurant,DOLLARS,$,COMPLETE,2,37
25516,CHAMBER OF COMMERCE OF STATE OF NEW YORK,120 ANNUAL BANQUET,GOV,DELMONICO'S,BOOKLET; ILLUS; 5.50 x 7.75;,ANNUAL EVENT,SEPARATE ENGRAVED INVITATION INCLUDED; SILK RIBBON ATTACHMENTS ON MENU; ENGRAVINGS OF SEALS & MYTHICAL FIGURES ON COVER; FRENCH; 2ND COPY OF MENU,1888-076,1888-11-20T00:00:00Z,Chamber Of Commerce Of State Of New York,,,COMPLETE,6,24
25517,CHAMBER OF COMMERCE (NY?),DINNER,GOV,DELMONICO'S NY,CARD; 6.5 X 7.5;,N/A,FRENCH; WINES;,1897-165,1897-05-06T00:00:00Z,Chamber Of Commerce (Ny?),,,COMPLETE,2,26
25518,HAMBURG - AMERIKA LINIE,CARTE DU JOUR-DEJEUNER,COMMERCIAL,"RITZ CARLTON RESTAURANT AN BORD DER ""AMERIKA""",CARD; ILLUS; COL; 8.75X12.75;,N/A,A LA CARTE MENU IN FRENCH; MENU HANDWRITTEN IN VIOLET INK; DECORATIVE FLOWER BORDER; ONE OF SEVERAL MENUS FOR DIFFERENT PASSENGER CLASSES ON THIS OCEAN LINER; [DATE INFO SUPPLIED BY FEB];,1906-627,1906-07-24T00:00:00Z,Hamburg Amerika Linie,DEUTSCHE MARKS,DM,COMPLETE,2,72
25519,EDWARD F. LANG'S LADIES AND GENTS LUNCH ROOM AND RESTAURANT,BREAKFAST AND SUPPER,COMMERCIAL,"139 EIGHTH STREET BET. BROADWAY AND 4TH AVE., NEW YORK, NY",FOLDER; 6.75X10.5,N/A,"NOTE ON FRONT: ""OBSERVE THE PURENESS OF THE WATER YOU DRINK HERE COMPARED WITH THAT IN GENERAL USE.""",1900-469,1900-01-23T00:00:00Z,Edward F. Lang's Ladies' And Gent's Lunch Room And Restaurant,,,COMPLETE,4,246
25520,PLAN AND SCOPE COMMITTEE OF THE DEWEY CELEBRATION,DINNER FOR CHAIRMEN HON.RANDOLPH GUGGENHEIMER AND GENERAL DANIEL BUTTERFIELD,PATR,"DELMONICO'S, NEW YORK",FOLDER;5X7;,COMPLIMENTARY/TESTIMONIAL,FRENCH MENU;WINES SERVED;NAMES;,1899-733,1899-11-18T00:00:00Z,Plan And Scope Committee Of The Dewey Celebration,,,COMPLETE,4,24
25521,GRAND LODGE OF MASONS OF THE STATE OF NEW YORK,"DINNER TO RT. REV. HENRY C. POTTER, PAST GRAND CHAPLAIN",SOC,UNION LEAGUE CLUB,BOOKLET; ILLUS; COL; 4.5X7;,COMPLIMENTARY/TESTIMONIAL,LISTS WINES SERVED WITH INDIVIDUAL COURSES; MASON SEAL ON COVER; SILK RIBBON ATTACHMENTS;,1898-372,1898-12-01T00:00:00Z,Grand Lodge Of Masons Of The State Of New York,,,COMPLETE,4,31
25523,FRAUNCES' TAVERN,DINNER,COMMERCIAL,NEW YORK CITY,FOLDER; ILLUS;7 X 9.25;,N/A,PRICED MENU AND WINE LIST; ILLUSTRATION AND HISTORY OF BUILDING;,1907-882,1907-10-15T00:00:00Z,Fraunces' Tavern,DOLLARS,$,COMPLETE,4,322
25526,HOTEL VICTORY,DINNER,COMMERCIAL,"PUT-IN-BAY ISLAND, LAKE ERIE, OH",FOLDER; CL; ILLUS; 5.5 X 7;,N/A,GREEN; WREATH ON COVER;,1899-541,1899-08-04T00:00:00Z,Hotel Victory,,,COMPLETE,4,29
25528,FRATERNAL UNION OF ANNIONTED HIGH PRIESTS OF NEW YORK STATE,50TH ANNUAL BANQUET,SOC,"VENDOME HOTEL,NY",BOOKLET; ILLUS; COL; 4.75X6;,ANNUAL EVENT,"WINES LISTED; SPEAKERS, OFFICERS & PAST PRESIDENTS ALL LISTED;",1905-324,1905-04-28T00:00:00Z,Fraternal Union Of Anointed High Priests Of The State Of New York,,,COMPLETE,8,20
25529,THE WALDORF,DINNER,COMMERCIAL,NYC,CARD; 6 X 8.5;,N/A,"PRICED MENU; FRENCH ON ONE SIDE, ENGLISH ON THE OTHER;",1896-090,1896-04-23T00:00:00Z,The Waldorf,DOLLARS,$,COMPLETE,2,307
25530,THE ANNEX,DAILY MENU,COMMERCIAL,"114 WEST FOURTEENTH STREET, NEW YORK",FOLDER; 6.25 X 9.5;,N/A,PRICED MENU; MENU HANDWRITTEN;,1906-412,1906-04-26T00:00:00Z,The Annex,DOLLARS,$,COMPLETE,4,72
